language,glottocode,branch,bh,p,w,m,gw,gwh,kw,dh,ky,b,status
Albanian,tosk1239,Albanian,N,Y,Y,N,N,N,N,N,Y,N,alive
Luwian,hier1240,Anatolian,N,N,N,N,N,N,N,N,N,N,extinct
Hittite,hitt1242,Anatolian,N,N,N,N,N,N,N,N,N,N,extinct
Classical_Armenian,clas1249,Armenian,-,-,-,N,N,N,N,N,N,N,extinct
Modern_Armenian,east2283,Armenian,Y,Y,Y,N,N,N,N,N,N,N,alive
Latvian,latv1249,Baltic,N,N,Y,N,N,N,N,N,N,N,alive
Modern_Lithuanian,lith1251,Baltic,N,N,Y,N,N,N,N,N,N,N,alive
Old_Breton,,Celtic,-,-,N,-,N,N,-,N,N,N,extinct
Modern_Breton,bret1244,Celtic,Y,Y,Y,Y,Y,Y,Y,N,N,Y,alive
Modern_Irish,iris1253,Celtic,Y,N,Y,Y,Y,N,N,N,N,Y,alive
Old_Welsh,oldw1239,Celtic,-,-,N,-,N,N,-,N,N,N,extinct
Old_Irish,oldi1245,Celtic,N,N,N,N,N,N,N,N,N,N,extinct
Modern_Welsh,wels1247,Celtic,Y,Y,Y,Y,Y,Y,Y,N,N,Y,alive
Afrikaans,afri1274,Germanic,Y,Y,Y,N,N,Y,Y,N,N,N,alive
Swiss_German,swis1247,Germanic,Y,Y,Y,N,N,Y,Y,N,N,Y,alive
Modern_English,stan1293,Germanic,Y,Y,N,N,N,N,Y,N,Y,N,alive
Gothic,goth1244,Germanic,Y,Y,N,N,N,N,Y,N,N,N,extinct
Icelandic,icel1247,Germanic,Y,Y,Y,Y,N,Y,Y,N,N,N,alive
Old_High_German,oldh1241,Germanic,Y,Y,N,N,N,N,Y,N,N,Y,extinct
Old_English,olde1238,Germanic,Y,Y,N,N,N,N,Y,N,N,N,extinct
Old_Norse,oldn1244,Germanic,Y,Y,Y,Y,N,Y,Y,N,N,N,extinct
Old_Saxon,olds1250,Germanic,Y,Y,N,N,N,N,Y,N,N,N,extinct
Swedish,swed1254,Germanic,Y,Y,Y,N,N,Y,Y,N,N,Y,alive
Ancient_Greek,anci1242,Greek,N,N,N,N,N,N,N,N,N,N,extinct
Modern_Greek,mode1248,Greek,Y,Y,Y,N,Y,Y,N,N,N,Y,alive
Hindi,hind1269,Indo-Aryan,N,N,Y,N,N,N,N,N,N,N,alive
Kashmiri,kash1277,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Maithili,mait1250,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Marathi,mara1378,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Nepali,nepa1254,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Oriya,nucl1284,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Singhalese,sinh1246,Indo-Aryan,N,N,N,N,N,N,N,N,N,N,alive
Vedic_Sanskrit,sans1269,Indo-Aryan,N,N,Y,N,N,N,N,N,N,N,extinct
Romani,vlax1238,Indo-Aryan,N,Y,Y,Y,N,N,N,N,N,N,alive
Pali,pali1273,Indo-Aryan,N,N,Y,N,N,N,N,N,N,N,extinct
Avestan,aves1237,Iranian,-,-,N,N,N,N,N,N,N,-,extinct
Middle_Persian,pahl1241,Iranian,Y,Y,N,Y,N,N,N,N,N,Y,extinct
Modern_Persian,west2369,Iranian,Y,Y,Y,N,N,N,N,N,N,Y,alive
Ossetic,osse1243,Iranian,Y,Y,Y,N,N,N,N,N,N,Y,alive
Pashto,nort2646,Iranian,-,-,-,N,N,N,N,N,N,N,alive
Baluchi,sout2642,Iranian,N,N,N,N,N,N,N,N,N,N,alive
Sardinian,camp1261,Italic,Y,N,N,N,N,Y,N,Y,N,N,alive
Spanish,stan1288,Italic,Y,N,N,N,N,Y,N,Y,N,N,alive
French,stan1290,Italic,Y,Y,Y,N,Y,Y,Y,Y,N,Y,alive
Italian,ital1282,Italic,Y,Y,Y,N,Y,Y,N,Y,N,Y,alive
Latin,lati1261,Italic,Y,N,N,N,N,Y,N,Y,N,N,extinct
Romanian,roma1327,Italic,Y,N,Y,N,Y,Y,N,Y,N,Y,alive
Bulgarian,bulg1262,Slavic,N,N,Y,N,N,N,N,N,N,N,alive
Old_Church_Slavic,chur1257,Slavic,N,N,Y,N,N,N,N,N,N,N,extinct
Russian,russ1263,Slavic,N,N,Y,N,N,N,N,N,N,N,alive
Upper_Sorbian,uppe1395,Slavic,N,N,Y,N,N,N,N,N,N,N,alive
Tocharian_B,tokh1243,Tocharian,N,N,N,N,N,N,N,N,N,N,extinct
